"where","cue","feature","translated","frequency_feature","frequency_translated","n","normalized_feature","normalized_translated","pos_cue","pos_feature","pos_translated","a1","a2","a3","FSG","BSG","word_list","school_code","id"
"b","art","beautiful","beauty",10,13,60,16.66666667,21.66666667,"noun","adjective","noun","characteristic","0","0",0.027,0,"mturk",4,"art beauty"
"b","art","beauty","beauty",3,13,60,5,21.66666667,"noun","noun","noun","0","0","0",0.073,0,"mturk",4,"art beauty"
"b","art","color","color",6,21,60,10,35,"noun","noun","noun","0","0","0",0.027,0,"mturk",4,"art color"
"b","art","colorful","color",3,21,60,5,35,"noun","adjective","noun","characteristic","0","0",0.013,0,"mturk",4,"art color"
"b","art","coloring","color",6,21,60,10,35,"noun","noun","noun","present_participle","0","0",0.027,0,"mturk",4,"art color"
"b","art","colors","color",6,21,60,10,35,"noun","noun","noun","numbers","0","0",0.027,0,"mturk",4,"art color"
"b","art","create","create",2,15,60,3.333333333,25,"noun","verb","verb","0","0","0",NA,NA,"mturk",4,"art create"
"b","art","creates","create",1,15,60,1.666666667,25,"noun","verb","verb","numbers","0","0",NA,NA,"mturk",4,"art create"
"b","art","creating","create",1,15,60,1.666666667,25,"noun","verb","verb","present_participle","0","0",NA,NA,"mturk",4,"art create"
"b","art","creative","create",6,15,60,10,25,"noun","adjective","verb","characteristic","0","0",0.013,0.144,"mturk",4,"art create"
"b","art","creativeness","create",1,15,60,1.666666667,25,"noun","noun","verb","characteristic","characteristic","0",NA,NA,"mturk",4,"art create"
"b","art","creativity","create",4,15,60,6.666666667,25,"noun","other","verb","characteristic","characteristic","0",NA,NA,"mturk",4,"art create"
"b","art","drawing","draw",13,15,60,21.66666667,25,"noun","noun","verb","present_participle","0","0",0.047,0.238,"mturk",4,"art draw"
"b","art","drawings","draw",2,15,60,3.333333333,25,"noun","noun","verb","present_participle","numbers","0",0.073,0,"mturk",4,"art draw"
"b","art","express","express",4,22,60,6.666666667,36.66666667,"noun","verb","verb","0","0","0",NA,NA,"mturk",4,"art express"
"b","art","expressed","express",1,22,60,1.666666667,36.66666667,"noun","verb","verb","past_tense","0","0",NA,NA,"mturk",4,"art express"
"b","art","expresses","express",2,22,60,3.333333333,36.66666667,"noun","verb","verb","third_person","0","0",NA,NA,"mturk",4,"art express"
"b","art","expressing","express",2,22,60,3.333333333,36.66666667,"noun","verb","verb","present_participle","0","0",NA,NA,"mturk",4,"art express"
"b","art","expression","express",12,22,60,20,36.66666667,"noun","noun","verb","actions_process","0","0",NA,NA,"mturk",4,"art express"
"b","art","expressions","express",1,22,60,1.666666667,36.66666667,"noun","noun","verb","actions_process","numbers","0",NA,NA,"mturk",4,"art express"
"b","art","many","many",10,10,60,16.66666667,16.66666667,"noun","adjective","adjective","0","0","0",NA,NA,"mturk",4,"art many"
"b","art","music","music",9,10,60,15,16.66666667,"noun","noun","noun","0","0","0",0.02,0.02,"mturk",4,"art music"
"b","art","musician","music",1,10,60,1.666666667,16.66666667,"noun","noun","noun","person_object","0","0",0.02,0.02,"mturk",4,"art music"
"b","art","paint","paint",7,37,60,11.66666667,61.66666667,"noun","noun","noun","0","0","0",0.22,0.018,"mturk",4,"art paint"
"b","art","paintbrush","paint",1,37,60,1.666666667,61.66666667,"noun","noun","noun","characteristic","0","0",0.22,0.018,"mturk",4,"art paint"
